,,,,,,,,,,,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Dribbles,Dribbles,
Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,PrgDist,Carries,PrgDist,Succ,Att,Match Report
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-26,Wed,Champions Lg,Round of 16,Away,L 0–1,it Juventus,fr Lyon,Y,DM,61,0,0,0,0,1,0,0,0,44,15,0,1,2,0.0,0.0,0.0,1,0,32,37,86.5,48,25,20,0,0,Match Report
2020-06-12,Fri,Coppa Italia,Semi-finals,Home,D 0–0,Juventus,Milan,Y,CM,61,0,0,0,0,0,0,1,0,,,,2,,,,,,,,,,,,,,,Match Report
2020-06-17,Wed,Coppa Italia,Final,Away,L 0 (2)–0 (4),Juventus,Napoli,Y,CM,73,0,0,0,0,0,0,0,0,,,,4,,,,,,,,,,,,,,,Match Report
2020-06-22,Mon,Serie A,Matchweek 27,Away,W 2–0,Juventus,Bologna,Y,DM,70,0,0,0,0,1,0,0,0,35,14,3,1,2,0.1,0.1,0.0,1,0,20,26,76.9,76,12,33,0,0,Match Report
2020-06-26,Fri,Serie A,Matchweek 28,Home,W 4–0,Juventus,Lecce,Y,DM,90,0,0,0,0,0,0,0,0,88,12,0,0,0,0.0,0.0,0.4,8,0,83,88,94.3,430,63,86,0,0,Match Report
2020-06-30,Tue,Serie A,Matchweek 29,Away,W 3–1,Juventus,Genoa,Y,DM,73,0,1,0,0,0,0,0,0,97,11,0,0,1,0.0,0.0,0.1,5,1,86,95,90.5,409,50,106,0,0,Match Report
2020-07-04,Sat,Serie A,Matchweek 30,Home,W 4–1,Juventus,Torino,Y,DM,48,0,0,0,0,0,0,1,0,35,9,1,0,1,0.0,0.0,0.1,3,0,28,29,96.6,194,24,34,0,0,Match Report
2020-07-07,Tue,Serie A,Matchweek 31,Away,L 2–4,Juventus,Milan,Y,DM,68,0,0,0,0,0,0,0,0,67,6,1,1,0,0.0,0.0,0.1,2,0,53,62,85.5,371,42,113,1,1,Match Report
,,,,,28-6-10,,,42/44,,3498,5,3,1,1,39,11,10,0,2708,500,60,58,43,1.2,1.2,3.3,99,8,2146,2459,87.3,11850,1648,3033,17,25,
