,,,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls▼,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
343,Phil Jagielka\Phil-Jagielka,eng ENG,DF,Sheffield Utd,36,1982,4,1,131,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
344,Matty James\Matty-James,eng ENG,MF,Leicester City,28,1991,1,0,6,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
345,Reece James\Reece-James,eng ENG,DF,Chelsea,19,1999,17,11,1069,0,2,0,0,1,0,0.00,0.17,0.17,0.00,0.17,0.7,0.7,1.8,0.06,0.15,0.21,0.06,0.21,Matches
346,Daryl Janmaat\Daryl-Janmaat,nl NED,DF,Watford,30,1989,8,7,607,0,1,0,0,1,0,0.00,0.15,0.15,0.00,0.15,0.3,0.3,0.4,0.04,0.06,0.11,0.04,0.11,Matches
347,Curtis Jones\Curtis-Jones,eng ENG,MF,Liverpool,18,2001,2,0,21,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.20,0.00,0.20,0.20,0.20,Matches
348,Phil Jones\Phil-Jones,eng ENG,DF,Manchester Utd,27,1992,2,2,135,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.15,0.00,0.15,0.15,0.15,Matches
349,Jota\Jota,es ESP,FWMF,Aston Villa,28,1991,8,4,314,0,1,0,0,0,0,0.00,0.29,0.29,0.00,0.29,0.1,0.1,0.6,0.04,0.18,0.21,0.04,0.21,Matches
350,James Justin\James-Justin,eng ENG,DF,Leicester City,21,1998,4,2,202,0,1,0,0,0,0,0.00,0.45,0.45,0.00,0.45,0.0,0.0,0.4,0.00,0.19,0.19,0.00,0.19,Matches
351,Christian Kabasele\Christian-Kabasele,be BEL,DF,Watford,28,1991,19,18,1575,0,1,0,0,3,2,0.00,0.06,0.06,0.00,0.06,0.9,0.9,0.3,0.05,0.02,0.07,0.05,0.07,Matches
352,Martin Kelly\Martin-Kelly,eng ENG,DF,Crystal Palace,29,1990,19,17,1549,0,1,0,0,0,0,0.00,0.06,0.06,0.00,0.06,0.1,0.1,0.9,0.01,0.05,0.06,0.01,0.06,Matches
353,Max Kilman\Max-Kilman,eng ENG,DF,Wolves,22,1997,3,2,185,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
354,Jonathan Kodjia\Jonathan-Kodjia,ci CIV,FWMF,Aston Villa,29,1989,6,0,117,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.04,0.00,0.04,0.04,0.04,Matches
355,Sead Kolašinac\Sead-Kolasinac,ba BIH,DF,Arsenal,26,1993,17,13,1107,0,2,0,0,3,0,0.00,0.16,0.16,0.00,0.16,0.7,0.7,1.0,0.06,0.08,0.14,0.06,0.14,Matches
356,Ezri Konsa\Ezri-Konsa,eng ENG,DF,Aston Villa,21,1998,15,14,1199,0,2,0,0,1,0,0.00,0.15,0.15,0.00,0.15,0.6,0.6,0.1,0.05,0.01,0.05,0.05,0.05,Matches
357,Emil Krafth\Emil-Krafth,se SWE,DF,Newcastle Utd,24,1994,11,6,565,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.04,0.00,0.04,0.04,0.04,Matches
358,Tim Krul\Tim-Krul,nl NED,GK,Norwich City,31,1988,27,27,2430,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
359,Tariq Lamptey\Tariq-Lamptey,eng ENG,DF,Chelsea,18,2000,1,0,32,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.00,0.38,0.38,0.00,0.38,Matches
360,Henri Lansbury\Henri-Lansbury,eng ENG,MF,Aston Villa,28,1990,9,2,194,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.05,0.03,0.08,0.05,0.08,Matches
361,Manuel Lanzini\Manuel-Lanzini,ar ARG,MFFW,West Ham,26,1993,19,12,1188,0,2,0,0,0,0,0.00,0.15,0.15,0.00,0.15,1.7,1.7,2.3,0.13,0.17,0.30,0.13,0.30,Matches
362,Aymeric Laporte\Aymeric-Laporte,fr FRA,DF,Manchester City,25,1994,7,7,504,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.02,0.01,0.03,0.02,0.03,Matches
363,Valentino Lazaro\Valentino-Lazaro,at AUT,DF,Newcastle Utd,23,1996,4,2,218,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.00,0.04,0.04,0.00,0.04,Matches
364,Moritz Leitner\Moritz-Leitner,de GER,MF,Norwich City,26,1992,9,7,685,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.3,0.03,0.04,0.07,0.03,0.07,Matches
365,Aaron Lennon\Aaron-Lennon,eng ENG,MF,Burnley,32,1987,16,4,496,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.00,0.02,0.02,0.00,0.02,Matches
366,Bernd Leno\Bernd-Leno,de GER,GK,Arsenal,27,1992,28,28,2520,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
367,Jesse Lingard\Jesse-Lingard,eng ENG,MFFW,Manchester Utd,26,1992,20,9,892,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,1.9,1.9,0.8,0.19,0.09,0.28,0.19,0.28,Matches
368,Hugo Lloris\Hugo-Lloris,fr FRA,GK,Tottenham,32,1986,12,12,997,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
369,Giovani Lo Celso\Giovani-Lo-Celso,ar ARG,MFFW,Tottenham,23,1996,19,7,878,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.9,0.9,0.9,0.09,0.10,0.19,0.09,0.19,Matches
370,Jürgen Locadia\Jurgen-Locadia,nl NED,MFFW,Brighton,25,1993,2,1,86,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.0,0.40,0.00,0.40,0.40,0.40,Matches
371,Kevin Long\Kevin-Long,ie IRL,MF,Burnley,28,1990,1,0,3,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
372,Sean Longstaff\Sean-Longstaff,eng ENG,MF,Newcastle Utd,21,1997,21,13,1304,0,1,0,0,2,1,0.00,0.07,0.07,0.00,0.07,0.8,0.8,0.9,0.05,0.06,0.12,0.05,0.12,Matches
373,Dejan Lovren\Dejan-Lovren,hr CRO,DF,Liverpool,30,1989,9,9,759,0,1,0,0,1,0,0.00,0.12,0.12,0.00,0.12,0.3,0.3,0.4,0.04,0.05,0.09,0.04,0.09,Matches
374,Matthew Lowton\Matthew-Lowton,eng ENG,DF,Burnley,30,1989,15,15,1350,0,1,0,0,2,0,0.00,0.07,0.07,0.00,0.07,0.0,0.0,1.1,0.00,0.07,0.07,0.00,0.07,Matches
375,Alexis Mac Allister\Alexis-Mac-Allister,ar ARG,FW,Brighton,20,1998,1,0,11,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.15,0.00,0.15,0.15,0.15,Matches
376,Ainsley Maitland-Niles\Ainsley-Maitland-Niles,eng ENG,DF,Arsenal,21,1997,14,14,1210,0,2,0,0,5,1,0.00,0.15,0.15,0.00,0.15,0.2,0.2,1.5,0.02,0.11,0.13,0.02,0.13,Matches
377,Javier Manquillo\Javier-Manquillo,es ESP,DF,Newcastle Utd,25,1994,13,11,962,0,1,0,0,4,0,0.00,0.09,0.09,0.00,0.09,0.0,0.0,0.3,0.00,0.03,0.03,0.00,0.03,Matches
378,Solly March\Solly-March,eng ENG,DFFW,Brighton,25,1994,13,9,881,0,1,0,0,2,0,0.00,0.10,0.10,0.00,0.10,1.2,1.2,0.5,0.12,0.05,0.18,0.12,0.18,Matches
379,Pablo Marí\Pablo-Mari,es ESP,DF,Arsenal,25,1993,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
380,Adrian Mariappa\Adrian-Mariappa,jm JAM,DF,Watford,32,1986,15,13,1228,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.4,0.02,0.03,0.05,0.02,0.05,Matches
381,David Martin\David-Martin,eng ENG,GK,West Ham,33,1986,5,4,436,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
382,Arthur Masuaku\Arthur-Masuaku,cd COD,DF,West Ham,25,1993,15,10,913,0,1,0,0,5,1,0.00,0.10,0.10,0.00,0.10,0.1,0.1,0.9,0.01,0.09,0.10,0.01,0.10,Matches
383,Juan Mata\Juan-Mata,es ESP,MFFW,Manchester Utd,31,1988,17,8,736,0,2,0,0,1,0,0.00,0.24,0.24,0.00,0.24,1.2,1.2,2.1,0.15,0.25,0.40,0.15,0.40,Matches
384,Nemanja Matić\Nemanja-Matic,rs SRB,MF,Manchester Utd,30,1988,12,11,959,0,1,0,0,1,0,0.00,0.09,0.09,0.00,0.09,0.2,0.2,0.9,0.02,0.08,0.10,0.02,0.10,Matches
385,James McArthur\James-McArthur,sco SCO,MF,Crystal Palace,31,1987,28,28,2425,0,3,0,0,5,0,0.00,0.11,0.11,0.00,0.11,2.1,2.1,2.3,0.08,0.08,0.16,0.08,0.16,Matches
386,Alex McCarthy\Alex-McCarthy,eng ENG,GK,Southampton,29,1989,19,19,1710,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
387,James McCarthy\James-McCarthy,ie IRL,MF,Crystal Palace,28,1990,24,12,1179,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.6,0.03,0.05,0.07,0.03,0.07,Matches
388,David McGoldrick\David-McGoldrick,ie IRL,FW,Sheffield Utd,31,1987,21,16,1353,0,2,0,0,2,0,0.00,0.13,0.13,0.00,0.13,5.6,5.6,1.6,0.37,0.10,0.47,0.37,0.47,Matches
389,Michael McGovern\Michael-McGovern,nir NIR,GK,Norwich City,35,1984,2,1,159,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
390,Ben Mee\Ben-Mee,eng ENG,DF,Burnley,29,1989,29,29,2610,0,1,0,0,7,0,0.00,0.03,0.03,0.00,0.03,1.5,1.5,0.6,0.05,0.02,0.07,0.05,0.07,Matches
391,Benjamin Mendy\Benjamin-Mendy,fr FRA,DF,Manchester City,25,1994,14,13,1115,0,2,0,0,2,0,0.00,0.16,0.16,0.00,0.16,0.2,0.2,1.1,0.01,0.09,0.10,0.01,0.10,Matches
392,Nampalys Mendy\Nampalys-Mendy,fr FRA,MF,Leicester City,27,1992,5,3,202,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.01,0.03,0.04,0.01,0.04,Matches
393,Max Meyer\Max-Meyer,de GER,MFFW,Crystal Palace,23,1995,13,6,547,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.6,0.10,0.10,0.20,0.10,0.20,Matches
394,Takumi Minamino\Takumi-Minamino,jp JPN,FWMF,Liverpool,24,1995,3,0,80,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.0,0.72,0.00,0.72,0.72,0.72,Matches
395,Henrikh Mkhitaryan\Henrikh-Mkhitaryan,am ARM,FW,Arsenal,30,1989,3,1,112,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.2,0.18,0.18,0.36,0.18,0.36,Matches
396,Nacho Monreal\Nacho-Monreal,es ESP,DF,Arsenal,33,1986,3,3,270,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.3,0.03,0.08,0.11,0.03,0.11,Matches
397,Martín Montoya\Martin-Montoya,es ESP,DF,Brighton,28,1991,23,21,1705,0,1,0,0,5,0,0.00,0.05,0.05,0.00,0.05,1.3,1.3,1.5,0.07,0.08,0.15,0.07,0.15,Matches
398,Simon Moore\Simon-Moore,eng ENG,GK,Sheffield Utd,29,1990,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
399,Wes Morgan\Wes-Morgan,jm JAM,DF,Leicester City,35,1984,8,1,166,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.03,0.00,0.03,0.03,0.03,Matches
400,Ravel Morrison\Ravel-Morrison,eng ENG,MF,Sheffield Utd,26,1993,1,0,13,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.28,0.00,0.28,0.28,0.28,Matches
401,Shkodran Mustafi\Shkodran-Mustafi,de GER,DF,Arsenal,27,1992,8,6,622,0,1,0,0,0,0,0.00,0.14,0.14,0.00,0.14,0.7,0.7,0.0,0.09,0.00,0.09,0.09,0.09,Matches
402,Yoshinori Mutō\Yoshinori-Muto,jp JPN,FWMF,Newcastle Utd,27,1992,7,2,205,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.04,0.03,0.07,0.04,0.07,Matches
403,Georges-Kévin N'Koudou\Georges-Kevin-NKoudou,fr FRA,FW,Tottenham,24,1995,1,0,3,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.59,0.00,0.59,0.59,0.59,Matches
404,Marvelous Nakamba\Marvelous-Nakamba,zw ZIM,MF,Aston Villa,25,1994,21,18,1629,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.5,0.01,0.03,0.04,0.01,0.04,Matches
405,Reiss Nelson\Reiss-Nelson,eng ENG,FW,Arsenal,19,1999,11,5,463,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.3,0.12,0.06,0.18,0.12,0.18,Matches
406,Jeremy Ngakia\Jeremy-Ngakia,eng ENG,DF,West Ham,18,2000,4,4,360,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
407,Oumar Niasse\Oumar-Niasse,sn SEN,FW,Everton,29,1990,3,0,22,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
408,Ørjan Nyland\Orjan-Nyland,no NOR,GK,Aston Villa,28,1990,3,1,179,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
409,Jack O'Connell\Jack-OConnell,eng ENG,DF,Sheffield Utd,25,1994,28,28,2520,0,1,0,0,3,0,0.00,0.04,0.04,0.00,0.04,1.3,1.3,2.2,0.05,0.08,0.12,0.05,0.12,Matches
410,Ben Osborn\Ben-Osborn,eng ENG,DFMF,Sheffield Utd,24,1994,7,0,130,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.00,0.18,0.18,0.00,0.18,Matches
411,Emerson Palmieri\Emerson-Palmieri,it ITA,DF,Chelsea,24,1994,14,13,1021,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.9,0.9,1.4,0.08,0.12,0.20,0.08,0.20,Matches
412,Troy Parrott\Troy-Parrott,ie IRL,MF,Tottenham,17,2002,2,0,7,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
413,Rui Patrício\Rui-Patricio,pt POR,GK,Wolves,31,1988,29,29,2610,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
414,Jordan Pickford\Jordan-Pickford,eng ENG,GK,Everton,25,1994,29,29,2610,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
415,Brandon Pierrick\Brandon-Pierrick,eng ENG,DF,Crystal Palace,17,2001,1,0,8,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.00,0.89,0.89,0.00,0.89,Matches
416,Erik Pieters\Erik-Pieters,nl NED,DF,Burnley,30,1988,15,14,1234,0,3,0,0,1,0,0.00,0.22,0.22,0.00,0.22,0.2,0.2,1.0,0.01,0.07,0.09,0.01,0.09,Matches
417,Daniel Podence\Daniel-Podence,pt POR,MFFW,Wolves,23,1995,4,0,46,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.1,0.56,0.15,0.71,0.56,0.71,Matches
418,Paul Pogba\Paul-Pogba,fr FRA,MF,Manchester Utd,26,1993,7,5,522,0,2,0,1,0,0,0.00,0.34,0.34,0.00,0.34,1.6,0.9,1.5,0.28,0.26,0.55,0.15,0.42,Matches
419,Nick Pope\Nick-Pope,eng ENG,GK,Burnley,27,1992,29,29,2610,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.6,0.00,0.02,0.02,0.00,0.02,Matches
420,Sebastian Prödl\Sebastian-Prodl,at AUT,DF,Watford,32,1987,1,1,56,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.12,0.00,0.12,0.12,0.12,Matches
421,Ignacio Pussetto\Ignacio-Pussetto,ar ARG,FWMF,Watford,23,1995,6,0,62,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
422,Domingos Quina\Domingos-Quina,pt POR,MF,Watford,19,1999,4,0,22,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.13,0.00,0.13,0.13,0.13,Matches
423,Aaron Ramsdale\Aaron-Ramsdale,eng ENG,GK,Bournemouth,21,1998,28,28,2520,0,1,0,0,0,0,0.00,0.04,0.04,0.00,0.04,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
424,Darren Randolph\Darren-Randolph,ie IRL,GK,West Ham,32,1987,2,2,180,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
425,Pepe Reina\Pepe-Reina,es ESP,GK,Aston Villa,36,1982,6,6,540,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
426,Declan Rice\Declan-Rice,eng ENG,MF,West Ham,20,1999,29,29,2610,0,2,0,0,5,0,0.00,0.07,0.07,0.00,0.07,0.7,0.7,1.1,0.02,0.04,0.06,0.02,0.06,Matches
427,Diego Rico\Diego-Rico,es ESP,DF,Bournemouth,26,1993,21,21,1792,0,2,0,0,6,0,0.00,0.10,0.10,0.00,0.10,0.3,0.3,2.0,0.02,0.10,0.12,0.02,0.12,Matches
428,Jaïro Riedewald\Jairo-Riedewald,nl NED,DF,Crystal Palace,22,1996,10,6,610,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.4,0.01,0.06,0.07,0.01,0.07,Matches
429,Matt Ritchie\Matt-Ritchie,sco SCO,DFMF,Newcastle Utd,29,1989,10,7,715,0,0,0,1,3,0,0.00,0.00,0.00,0.00,0.00,1.2,0.5,1.0,0.15,0.12,0.27,0.06,0.18,Matches
430,Roberto\Roberto,es ESP,GK,West Ham,33,1986,8,7,687,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
431,Patrick Roberts\Patrick-Roberts,eng ENG,MFFW,Norwich City,22,1997,3,0,26,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
432,Marcos Rojo\Marcos-Rojo,ar ARG,DF,Manchester Utd,29,1990,3,1,122,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.08,0.00,0.08,0.08,0.08,Matches
433,Oriol Romeu\Oriol-Romeu,es ESP,MF,Southampton,27,1991,22,13,1314,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.3,0.01,0.02,0.04,0.01,0.04,Matches
434,Danny Rose\Danny-Rose,eng ENG,DF,Newcastle Utd,29,1990,5,4,352,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.01,0.01,0.00,0.01,Matches
435,Danny Rose\Danny-Rose,eng ENG,DF,Tottenham,29,1990,12,10,893,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.8,0.01,0.08,0.10,0.01,0.10,Matches
436,Lukas Rupp\Lukas-Rupp,de GER,FW,Norwich City,28,1991,6,4,337,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.5,0.09,0.14,0.23,0.09,0.23,Matches
437,Mathew Ryan\Mathew-Ryan,au AUS,GK,Brighton,27,1992,29,29,2610,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
438,Bukayo Saka\Bukayo-Saka,eng ENG,DFFW,Arsenal,17,2001,18,12,1178,0,3,0,0,4,0,0.00,0.23,0.23,0.00,0.23,0.7,0.7,1.9,0.05,0.14,0.20,0.05,0.20,Matches
439,Mamadou Sakho\Mamadou-Sakho,fr FRA,DFMF,Crystal Palace,29,1990,8,6,466,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.00,0.01,0.01,0.00,0.01,Matches
440,Carlos Sánchez\Carlos-Sanchez,co COL,MFDF,West Ham,33,1986,6,1,117,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
441,Davinson Sánchez\Davinson-Sanchez,co COL,DF,Tottenham,23,1996,22,21,1890,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.0,0.03,0.00,0.03,0.03,0.03,Matches
442,Ezequiel Schelotto\Ezequiel-Schelotto,it ITA,DF,Brighton,30,1989,7,3,291,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.07,0.00,0.07,0.07,0.07,Matches
443,Kasper Schmeichel\Kasper-Schmeichel,dk DEN,GK,Leicester City,32,1986,29,29,2610,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.00,0.01,0.01,0.00,0.01,Matches
444,Morgan Schneiderlin\Morgan-Schneiderlin,fr FRA,MF,Everton,29,1989,15,12,1001,0,0,0,0,6,1,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.2,0.03,0.01,0.05,0.03,0.05,Matches
445,Ryan Sessegnon\Ryan-Sessegnon,eng ENG,DF,Tottenham,19,2000,6,4,342,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.03,0.01,0.04,0.03,0.04,Matches
446,Luke Shaw\Luke-Shaw,eng ENG,DF,Manchester Utd,24,1995,18,14,1236,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.6,0.03,0.05,0.07,0.03,0.07,Matches
447,Djibril Sidibé\Djibril-Sidibe,fr FRA,DF,Everton,27,1992,21,17,1642,0,4,0,0,3,0,0.00,0.22,0.22,0.00,0.22,0.3,0.3,2.0,0.02,0.11,0.12,0.02,0.12,Matches
448,Jack Simpson\Jack-Simpson,eng ENG,DF,Bournemouth,22,1997,4,1,241,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01,Matches
449,Oliver Skipp\Oliver-Skipp,eng ENG,MFDF,Tottenham,18,2000,4,1,58,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
450,William Smallbone\William-Smallbone,ie IRL,MF,Southampton,19,2000,2,2,156,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.13,0.00,0.13,0.13,0.13,Matches
451,Adam Smith\Adam-Smith,eng ENG,DF,Bournemouth,28,1991,18,18,1557,0,1,0,0,6,0,0.00,0.06,0.06,0.00,0.06,0.6,0.6,0.6,0.03,0.04,0.07,0.03,0.07,Matches
452,Emile Smith-Rowe\Emile-Smith-Rowe,eng ENG,MF,Arsenal,19,2000,2,1,97,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
453,Cédric Soares\Cedric-Soares,pt POR,DF,Southampton,27,1991,16,16,1306,0,1,0,0,1,0,0.00,0.07,0.07,0.00,0.07,0.6,0.6,1.2,0.04,0.09,0.13,0.04,0.13,Matches
454,Dominic Solanke\Dominic-Solanke,eng ENG,FWMF,Bournemouth,21,1997,24,12,1187,0,1,0,0,1,0,0.00,0.08,0.08,0.00,0.08,2.1,2.1,1.0,0.16,0.07,0.23,0.16,0.23,Matches
455,Tomáš Souček\Tomas-Soucek,cz CZE,MF,West Ham,24,1995,4,3,230,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.04,0.00,0.04,0.04,0.04,Matches
456,Jack Stacey\Jack-Stacey,eng ENG,DF,Bournemouth,23,1996,12,12,1066,0,2,0,0,2,0,0.00,0.17,0.17,0.00,0.17,0.3,0.3,2.1,0.03,0.18,0.21,0.03,0.21,Matches
457,Junior Stanislas\Junior-Stanislas,eng ENG,MFFW,Bournemouth,29,1989,6,2,224,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.09,0.03,0.13,0.09,0.13,Matches
458,Jed Steer\Jed-Steer,eng ENG,GK,Aston Villa,26,1992,1,1,7,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
459,Dale Stephens\Dale-Stephens,eng ENG,MF,Brighton,30,1989,24,22,1942,0,1,0,0,6,0,0.00,0.05,0.05,0.00,0.05,0.5,0.5,0.7,0.02,0.03,0.06,0.02,0.06,Matches
460,Marco Stiepermann\Marco-Stiepermann,de GER,MF,Norwich City,28,1991,19,11,933,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,1.5,1.5,0.5,0.15,0.04,0.19,0.15,0.19,Matches
461,John Stones\John-Stones,eng ENG,DF,Manchester City,25,1994,12,10,906,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.1,0.06,0.01,0.07,0.06,0.07,Matches
