,,,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls▼,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
39,Mason Greenwood\Mason-Greenwood,eng ENG,FWMF,Manchester Utd,17,2001,22,4,660,5,0,0,0,0,0,0.68,0.00,0.68,0.68,0.68,2.1,2.1,0.3,0.29,0.04,0.33,0.29,0.33,Matches
40,Wesley Moraes\Wesley-Moraes,br BRA,FW,Aston Villa,22,1996,21,21,1782,5,1,0,1,3,0,0.25,0.05,0.30,0.25,0.30,5.2,4.3,0.9,0.26,0.05,0.31,0.22,0.26,Matches
41,Lys Mousset\Lys-Mousset,fr FRA,FW,Sheffield Utd,23,1996,23,10,1021,5,4,0,0,1,0,0.44,0.35,0.79,0.44,0.79,3.3,3.3,2.4,0.29,0.21,0.50,0.29,0.50,Matches
42,Christian Pulisic\Christian-Pulisic,us USA,FW,Chelsea,20,1998,16,12,1073,5,2,0,0,0,0,0.42,0.17,0.59,0.42,0.59,5.2,5.2,2.1,0.43,0.17,0.61,0.43,0.61,Matches
43,Jay Rodriguez\Jay-Rodriguez,eng ENG,FW,Burnley,30,1989,28,12,1390,5,0,1,1,1,0,0.32,0.00,0.32,0.26,0.26,5.1,4.4,0.4,0.33,0.03,0.36,0.28,0.31,Matches
44,Ismaila Sarr\Ismaila-Sarr,sn SEN,FWMF,Watford,21,1998,19,13,1226,5,3,0,0,1,0,0.37,0.22,0.59,0.37,0.59,4.9,4.9,1.3,0.36,0.09,0.45,0.36,0.45,Matches
45,Jonjo Shelvey\Jonjo-Shelvey,eng ENG,MF,Newcastle Utd,27,1992,17,16,1340,5,0,0,0,2,0,0.34,0.00,0.34,0.34,0.34,1.8,1.8,2.4,0.12,0.16,0.28,0.12,0.28,Matches
46,Bernardo Silva\Bernardo-Silva,pt POR,FWMF,Manchester City,24,1994,24,17,1497,5,5,0,0,5,0,0.30,0.30,0.60,0.30,0.60,4.6,4.6,3.8,0.28,0.23,0.50,0.28,0.50,Matches
47,Robert Snodgrass\Robert-Snodgrass,sco SCO,MFFW,West Ham,31,1987,24,17,1509,5,5,0,0,4,0,0.30,0.30,0.60,0.30,0.60,2.5,2.5,2.8,0.15,0.17,0.32,0.15,0.32,Matches
48,Willian\Willian,br BRA,FW,Chelsea,30,1988,28,21,1928,5,5,1,1,3,0,0.23,0.23,0.47,0.19,0.42,3.6,2.9,4.6,0.17,0.21,0.38,0.13,0.35,Matches
49,Marcos Alonso\Marcos-Alonso,es ESP,DF,Chelsea,28,1990,11,9,859,4,2,0,0,3,0,0.42,0.21,0.63,0.42,0.63,1.5,1.5,1.4,0.16,0.14,0.30,0.16,0.30,Matches
50,Gerard Deulofeu\Gerard-Deulofeu,es ESP,FW,Watford,25,1994,28,25,2098,4,5,1,1,3,0,0.17,0.21,0.39,0.13,0.34,5.3,4.5,4.6,0.23,0.20,0.42,0.19,0.39,Matches
