,,,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG▼,npxG+xA,Matches
39,Matías Vecino\Matias-Vecino,uy URU,MF,Inter,27,1991,18,14,1258,2,2,0,0,4,0,0.14,0.14,0.29,0.14,0.29,2.8,2.8,1.3,0.20,0.09,0.30,0.20,0.30,Matches
40,Mattia Valoti\Mattia-Valoti,it ITA,MFFW,SPAL,25,1993,21,14,1247,2,0,0,0,6,0,0.14,0.00,0.14,0.14,0.14,2.7,2.7,0.9,0.20,0.06,0.26,0.20,0.26,Matches
41,Luis Alberto\Luis-Alberto,es ESP,MF,Lazio,26,1992,25,25,2147,4,12,1,1,4,0,0.17,0.50,0.67,0.13,0.63,5.2,4.4,7.6,0.22,0.32,0.54,0.19,0.51,Matches
42,Hakan Çalhanoğlu\Hakan-Calhanoglu,tr TUR,MFFW,Milan,25,1994,23,23,1890,3,1,0,0,6,0,0.14,0.05,0.19,0.14,0.19,4.0,4.0,3.2,0.19,0.15,0.34,0.19,0.34,Matches
43,Mattia Zaccagni\Mattia-Zaccagni,it ITA,FWMF,Hellas Verona,24,1995,23,20,1560,1,4,0,0,5,0,0.06,0.23,0.29,0.06,0.29,3.4,3.4,2.5,0.19,0.14,0.34,0.19,0.34,Matches
44,Lorenzo Pellegrini\Lorenzo-Pellegrini,it ITA,MF,Roma,23,1996,18,18,1502,1,8,0,0,6,1,0.06,0.48,0.54,0.06,0.54,3.2,3.2,5.8,0.19,0.35,0.54,0.19,0.54,Matches
45,Justin Kluivert\Justin-Kluivert,nl NED,FW,Roma,20,1999,18,17,1361,4,1,0,0,6,1,0.26,0.07,0.33,0.26,0.33,2.8,2.8,1.2,0.19,0.08,0.27,0.19,0.27,Matches
46,Juraj Kucka\Juraj-Kucka,sk SVK,MFFW,Parma,32,1987,18,15,1350,3,2,0,0,2,0,0.20,0.13,0.33,0.20,0.33,2.8,2.8,1.7,0.19,0.11,0.30,0.19,0.30,Matches
47,Sergej Milinković-Savić\Sergej-Milinkovic-Savic,rs SRB,MF,Lazio,24,1995,25,24,2045,4,4,0,0,6,0,0.18,0.18,0.35,0.18,0.35,4.1,4.1,3.0,0.18,0.13,0.31,0.18,0.31,Matches
48,Rolando Mandragora\Rolando-Mandragora,it ITA,MF,Udinese,22,1997,25,23,1997,0,2,0,0,2,0,0.00,0.09,0.09,0.00,0.09,4.0,4.0,2.9,0.18,0.13,0.31,0.18,0.31,Matches
49,Dejan Kulusekvski\Dejan-Kulusekvski,se SWE,FWMF,Parma,19,2000,23,22,1902,5,7,0,0,2,0,0.24,0.33,0.57,0.24,0.57,3.5,3.5,5.5,0.17,0.26,0.42,0.17,0.42,Matches
50,Valerio Verre\Valerio-Verre,it ITA,FWMF,Hellas Verona,25,1994,23,17,1360,3,0,2,2,4,0,0.20,0.00,0.20,0.07,0.07,4.2,2.6,2.4,0.28,0.16,0.43,0.17,0.33,Matches
51,José Callejón\Jose-Callejon,es ESP,MFFW,Napoli,32,1987,23,19,1650,2,6,0,0,2,0,0.11,0.33,0.44,0.11,0.44,2.9,2.9,5.5,0.16,0.30,0.46,0.16,0.46,Matches
52,Simone Verdi\Simone-Verdi,it ITA,MFFW,Torino,27,1992,22,17,1313,1,3,0,0,2,0,0.07,0.21,0.27,0.07,0.27,2.3,2.3,1.6,0.16,0.11,0.27,0.16,0.27,Matches
53,Matteo Pessina\Matteo-Pessina,it ITA,MFFW,Hellas Verona,22,1997,24,18,1717,3,0,0,0,4,0,0.16,0.00,0.16,0.16,0.16,2.8,2.8,1.0,0.15,0.05,0.20,0.15,0.20,Matches
54,Aleksandar Kolarov\Aleksandar-Kolarov,rs SRB,DF,Roma,33,1985,23,22,1988,6,3,2,4,6,0,0.27,0.14,0.41,0.18,0.32,6.0,3.0,3.7,0.27,0.17,0.44,0.14,0.31,Matches
55,Mattia Bani\Mattia-Bani,it ITA,DF,Bologna,25,1993,22,22,1868,4,0,0,0,13,1,0.19,0.00,0.19,0.19,0.19,2.9,2.9,0.1,0.14,0.00,0.14,0.14,0.14,Matches
56,Rodrigo De Paul\Rodrigo-De-Paul,ar ARG,MF,Udinese,25,1994,23,22,1832,5,2,0,0,4,1,0.25,0.10,0.34,0.25,0.34,2.8,2.8,4.9,0.14,0.24,0.38,0.14,0.38,Matches
57,Davide Faraoni\Davide-Faraoni,it ITA,DF,Hellas Verona,27,1991,24,24,2160,3,3,0,0,4,0,0.12,0.12,0.25,0.12,0.25,3.1,3.1,2.0,0.13,0.08,0.21,0.13,0.21,Matches
58,Filippo Falco\Filippo-Falco,it ITA,FWMF,Lecce,27,1992,19,15,1365,3,3,0,0,0,0,0.20,0.20,0.40,0.20,0.40,2.0,2.0,2.9,0.13,0.19,0.33,0.13,0.33,Matches
59,Jasmin Kurtić\Jasmin-Kurtic,si SVN,MF,SPAL,30,1989,16,16,1409,2,0,0,0,5,0,0.13,0.00,0.13,0.13,0.13,2.0,2.0,2.1,0.13,0.13,0.26,0.13,0.26,Matches
60,Marcelo Brozović\Marcelo-Brozovic,hr CRO,MF,Inter,26,1992,23,22,1990,3,5,0,0,6,0,0.14,0.23,0.36,0.14,0.36,2.6,2.6,2.1,0.12,0.10,0.21,0.12,0.21,Matches
61,Radja Nainggolan\Radja-Nainggolan,be BEL,MFFW,Cagliari,31,1988,21,20,1738,5,6,0,0,5,0,0.26,0.31,0.57,0.26,0.57,2.3,2.3,5.1,0.12,0.26,0.39,0.12,0.39,Matches
62,Jakub Jankto\Jakub-Jankto,cz CZE,MF,Sampdoria,23,1996,19,15,1278,2,2,0,0,4,0,0.14,0.14,0.28,0.14,0.28,1.8,1.8,2.6,0.12,0.19,0.31,0.12,0.31,Matches
